id,Name,Team,Position,Birth Date,School,Photo URL,Draft Info,Active Years
16026,최명경 (Myeong-Kyung Choi),LG,CF,우투좌타,여수서초-여수중-효천고-동아대,https://statiz.sporki.com/data/baseball/player/2023/16026.png,24 LG 육성선수,2024년 ~ 2024년
16027,원상현 (Sang-hyun Won),KT,P,우투우타,부산진구-개성중-부산고,https://statiz.sporki.com/data/baseball/player/2023/16027.png,24 KT 1라운드 7순위,2024년 ~ 2024년
16028,육청명 (Chung-myung Yuk),KT,P,우투우타,강남초-선린중-강릉고,https://statiz.sporki.com/data/baseball/player/2023/16028.png,24 KT 2라운드 17순위,2024년 ~ 2024년
16029,김민성 (Min-sung Kim),KT,P,우투우타,언북초-홍은중-선린고,https://statiz.sporki.com/data/baseball/player/2023/16029.png,24 KT 3라운드 27순위,2024년 ~ 2024년
16030,최윤서 (Yun-seo Choi),KT,P,우투우타,강남-휘문중-포철고-동의대,https://statiz.sporki.com/data/baseball/player/2023/16030.png,24 KT 4라운드 37순위,2024년 ~ 2024년
16031,신호준 (Ho-jun Shin),KT,RF,우투우타,백마초-포항중-경주고,https://statiz.sporki.com/data/baseball/player/2023/16031.png,24 KT 5라운드 47순위,2024년 ~ 2024년
16032,박정현 (Jung-hyun Park),KT,2B,우투양타,광명-영동중-경기항공고,https://statiz.sporki.com/data/baseball/player/2023/16032.png,24 KT 6라운드 57순위,2024년 ~ 2024년
16033,박태완 (Tae-wan Park),KT,SS,우투우타,부천시-부천중-유신고,https://statiz.sporki.com/data/baseball/player/2023/16033.png,24 KT 7라운드 67순위,2024년 ~ 2024년
16034,이승현 (Seung-hyun Lee),KT,C,우투좌타,평택-개군중-북일고,https://statiz.sporki.com/data/baseball/player/2023/16034.png,24 KT 9라운드 87순위,2024년 ~ 2024년
16035,김민석 (Min-suk Kim),KT,C,우투우타,창영초-동인천중-제물포고,https://statiz.sporki.com/data/baseball/player/2023/16035.png,24 KT 10라운드 97순위,2024년 ~ 2024년
16036,이승언 (Seung-eon Lee),KT,P,우투우타,수원장안구-장안고,https://statiz.sporki.com/data/baseball/player/2023/16036.png,24 KT 11라운드 107순위,2024년 ~ 2024년
16037,김지민 (Ji-min Kim),KT,P,우투우타,성동초-덕수중-서울고-원광대,https://statiz.sporki.com/data/baseball/player/2023/16037.png,24 KT 육성선수,2024년 ~ 2024년
16038,박지환 (Ji-hwan Park),SSG,SS,우투우타,군산남초-군산중-세광고,https://statiz.sporki.com/data/baseball/player/2023/16038.png,24 SSG 1라운드 10순위,2024년 ~ 2024년
16039,이승민 (Seung-min Lee),SSG,RF,좌투좌타,도곡초-휘문중-휘문고,https://statiz.sporki.com/data/baseball/player/2023/16039.png,24 SSG 2라운드 20순위,2024년 ~ 2024년
